"id","title","trim_id","retail_price","p11d_price"
"E219VN-2025-GPALPAL-GPAZPAZ-GPA5PA5-GPSGPSG-GRD9RD9-GWD9WD9-GW60W60-GYGAYGA","GTX Edition 77kWh GTX 4MOTION 340PS 1-speed automatic 5 Door","30290-gtx-edition","52235","52180"
"E213RN-2025-GPAIPAI-GPAYPAY-GPA2PA2-GPJ8PJ8-GRD8RD8-MABAUD2-GWD1WD1-GW60W60-GYGAYGA-MSDH5I6","Match 77kWh Pro 286PS 1-speed automatic 5 Door","30290-match","44390","44335"
"E213QN-2025-GPAIPAI-GPAYPAY-GPA2PA2-GPJ8PJ8-GRD8RD8-MABAUD2-GWD1WD1-GW60W60-GYGAYGA-MSDH5I6","Match 77kWh Pro 4MOTION 286PS 1-speed automatic 5 Door","30290-match","46110","46055"
"E212DF-2025-GPAIPAI-GPAYPAY-GPJ7PJ7-GRD8RD8-GWD1WD1-GW05W05-GYGAYGA-GYGGYGG-MSSH4KF","Match 52kWh Pure 170PS 1-speed automatic 5 Door","30290-match","39580","39525"
"ED59PM-2025-GPBFPBF-GPBPPBP-GP01P01-GP36P36-GW55W55","GTX 4MOTION 86kWh GTX 340PS 1-speed automatic 5 Door","30560-gtx-4motion","62700","62645"
"ED53QK-2025-GPBEPBE-GPBPPBP-GP01P01-GP22P22-GW55W55","Pro Match 77kWh Pro 286PS 1-speed automatic 5 Door","30560-pro-match","52270","52215"
"ED54QM-2025-GPBEPBE-GPBPPBP-GP01P01-GP22P22-GW55W55","Pro S Match 86kWh Pro S 286PS 1-speed automatic 5 Door","30560-pro-s-match","56170","56115"
"DA1RPT-2025-MAAUE40-GPF2PF2-GPG4PG4-GPK2PK2-GRDARDA-GWW1WW1-GW4AW4A-GW7AW7A-GYBPYBP-GYOSYOS","R Black Edition 2.0 TSI 4Motion 333ps 7-Speed DSG 5 Door","30602-r-black-edition","45785","44635"
"DA1RPT-2025-GPF2PF2-GPG4PG4-GPK2PK2-GPXDPXD-GRDARDA-GWW1WW1-GYOSYOS","R 2.0 TSI 4Motion 333ps 7-Speed DSG 5 Door","30602-r","44535","43385"
"DA13BX-2025-GPG4PG4-GPLAPLA-GPU2PU2-GRDARDA-GYOSYOS","Life 1.5 TSI 115ps 6-Speed Manual 5 Door","30602-life","27760","27485"
"DA13EM-2025-MKSUKA2-GPG4PG4-GPI1PI1-GPK2PK2-GPLDPLD-GRDARDA-GW20W20-GYOSYOS-MSSH4KF","Match 1.5 eTSI 150ps 7-Speed DSG 5 Door","30602-match","30665","30400"
"DA132X-2025-MKSUKA2-GPG4PG4-GPI1PI1-GPK1PK1-GPLDPLD-GPU2PU2-GRDARDA-GW20W20-GYOSYOS-MSSH4KF","Match 2.0 TDI 115ps 6-Speed Manual 5 Door","30602-match","29730","29455"
"DA13EX-2025-MKSUKA2-GPG4PG4-GPI1PI1-GPK1PK1-GPLDPLD-GPU2PU2-GRDARDA-GW20W20-GYOSYOS-MSSH4KF","Match 1.5 TSI 150ps 6-Speed Manual 5 Door","30602-match","29075","28800"
"DA13HY-2025-MKSUKA2-GPG4PG4-GPK2PK2-GPLDPLD-GRDARDA-GW20W20-GYOSYOS-MSSH4KF","Match 1.5 TSI eHybrid 204ps 6-Speed DSG 5 Door","30602-match","36140","36085"
"DA13BX-2025-MKSUKA2-GPG4PG4-GPI1PI1-GPK1PK1-GPLDPLD-GPU2PU2-GRDARDA-GW20W20-GYOSYOS-MSSH4KF","Match 1.5 TSI 115ps 6-Speed Manual 5 Door","30602-match","27935","27660"
"DA19VZ-2025-GPF2PF2-GPG4PG4-GPK2PK2-GPLAPLA-GPXDPXD-GRDARDA-GWW1WW1-GYOSYOS","GTI Clubsport 2.0 TSI 300ps 7-Speed DSG 5 Door","30602-gti-clubsport","42780","42045"
"DA15EM-2025-GPG4PG4-GPLAPLA-GRDARDA-GYOSYOS","R-Line 1.5 eTSI 150ps 7-Speed DSG 5 Door","30602-r-line","32690","32425"
"DA15EX-2025-GPG4PG4-GPLAPLA-GRDARDA-GYOSYOS","R-Line 1.5 TSI 150ps 6-Speed Manual 5 Door","30602-r-line","31100","30825"
"DA157Z-2025-GPG4PG4-GPLAPLA-GRDARDA-GYOSYOS","R-Line 2.0 TDI 150ps 7-Speed DSG 5 Door","30602-r-line","34500","34225"
"DA14BM-2025-GPF2PF2-GPG4PG4-GPLDPLD-GRDARDA-GYOSYOS","Style 1.5 eTSI 115ps 7-Speed DSG 5 Door","30602-style","31010","30745"
"DA14HY-2025-GPF2PF2-GPG4PG4-GPLDPLD-GRDARDA-GYOSYOS","Style 1.5 TSI eHybrid 204ps 6-Speed DSG 5 Door","30602-style","37165","37110"
"DA14EM-2025-GPF2PF2-GPG4PG4-GPLDPLD-GRDARDA-GYOSYOS","Style 1.5 eTSI 150ps 7-Speed DSG 5 Door","30602-style","32150","31885"
"DA14EX-2025-GPF1PF1-GPG4PG4-GPLDPLD-GRDARDA-GYOSYOS","Style 1.5 TSI 150ps 6-Speed Manual 5 Door","30602-style","30560","30285"
"DA16JY-2025-GPF2PF2-GPG4PG4-GPK2PK2-GPLAPLA-GPXDPXD-GRDARDA-GWW1WW1-GYOSYOS","GTE 1.5 TSI 272ps 6-Speed DSG 5 Door","30602-gte","40330","40275"
"DA19ZZ-2025-GPF2PF2-GPG4PG4-GPJ6PJ6-GPK2PK2-GPLAPLA-GPXDPXD-GRDARDA-GWW1WW1-GYOSYOS","GTI 2.0 TSI 265ps 7-Speed DSG 5 Door","30602-gti","40025","39290"
"DA15EX-2025-GPG4PG4-GPJ5PJ5-GPLAPLA-GRDARDA-GWBTWBT-GWW1WW1-GW7AW7A-GYOSYOS","Black Edition 1.5 TSI 150ps 6-Speed Manual 5 Door","30602-black-edition","32100","31825"
"DA15EM-2025-GPG4PG4-GPJ5PJ5-GPLAPLA-GRDARDA-GWBTWBT-GWW1WW1-GW7AW7A-GYOSYOS","Black Edition 1.5 eTSI 150ps 7-Speed DSG 5 Door","30602-black-edition","33690","33425"
"DA157Z-2025-GPG4PG4-GPJ5PJ5-GPLAPLA-GRDARDA-GWBTWBT-GWW1WW1-GW7AW7A-GYOSYOS","Black Edition 2.0 TDI 150ps 7-Speed DSG 5 Door","30602-black-edition","35500","35225"
"AC83LE-2025-GRBFRBF-GWD1WD1-GWWCWWC-GW99W99-GYOSYOS-MLOR7P1","Style 1.5 TSI 150PS 7-speed DSG 2 Door","30372-style","38620","38295"
"AC83LD-2025-GRBFRBF-GWD1WD1-GWWCWWC-GW99W99-GYOSYOS-MLOR7P1","Style 1.5 TSI 150PS 6-speed Manual 2 Door","30372-style","36920","36595"
"AC83AX-2025-GRBFRBF-GWD1WD1-GWWCWWC-GW99W99-GYOSYOS-MLOR7P1","Style 1.0 TSI 115PS 6-speed Manual 2 Door","30372-style","35405","35080"
"AC85LD-2025-GPXBPXB-GRBFRBF-GWD1WD1-GWWDWWD-GW99W99-GYOSYOS","R-Line 1.5 TSI 150PS 6-speed Manual 2 Door","30372-r-line","39540","39215"
"AC85LE-2025-GPXBPXB-GRBFRBF-GWD1WD1-GWWDWWD-GW99W99-GYOSYOS","R-Line 1.5 TSI 150PS 7-speed DSG 2 Door","30372-r-line","41240","40915"
"R413ZY-2025-GPDAPDA-GPE4PE4-GPJEPJE-GRBARBA-GWN3WN3-GW01W01-GYOSYOS-MDEI3FU","Match 1.5 TSI eHybrid 204PS 6-Speed DSG 5 Door","31150-match","44405","44350"
"R414BM-2025-GPFBPFB-GPG4PG4-GPJHPJH-GRBARBA-GWN3WN3-GYOSYOS","Elegance 1.5 eTSI 150PS 7-Speed DSG 5 Door","31150-elegance","42420","42105"
"R4144Z-2025-GPFBPFB-GPG4PG4-GPJHPJH-GRBARBA-GWN3WN3-GYOSYOS","Elegance 2.0 TDI 150PS 7-Speed DSG 5 Door","31150-elegance","43620","43295"
"R414ZY-2025-GPFBPFB-GPJHPJH-GRBARBA-GWN3WN3-GYOSYOS","Elegance 1.5 TSI eHybrid 204PS 6-Speed DSG 5 Door","31150-elegance","46475","46420"
"R415ZY-2025-GPE4PE4-GPJMPJM-GRBARBA-GWN3WN3-GWW2WW2-GW01W01-GYOSYOS-MDEI3FU","R-Line Edition 1.5 TSI eHybrid 204PS 6-Speed DSG 5 Door","31150-r-line-edition","47380","47325"
"R415YY-2025-GPE4PE4-GPJMPJM-GRBARBA-GWN3WN3-GWW2WW2-GW01W01-GYOSYOS-MDEI3FU","R-Line Edition 1.5 TSI eHybrid 272PS 6-Speed DSG 5 Door","31150-r-line-edition","50100","50045"
